NumerKartyCzlonkowskiej,ZajeciaID,DataZapisu,StatusZapisu,Obecny
MCGAWY9572,12,2024-02-29,Aktywny,1
MCKRZI7540,21,2022-04-03,Aktywny,1
MCRASZ2555,5,2025-04-19,Aktywny,1
MCGAWY9572,20,2023-12-04,Aktywny,1
MCEWNO6755,18,2024-09-26,Aktywny,1
MCGAWY9572,2,2022-12-07,Aktywny,1
MCROPE9078,21,2022-03-20,Aktywny,1
MCBRKA5404,27,2025-02-09,Aktywny,1
MCALLA1105,14,2022-01-01,Aktywny,0
MCJUDE5742,5,2025-05-05,Aktywny,1
MCJAZY3673,28,2024-11-04,Aktywny,1
MCFACI1666,29,2022-01-01,Aktywny,1
MCRASL1048,7,2025-04-03,Aktywny,1
MCJAZY3673,4,2025-10-07,Aktywny,1
MCADNI1442,28,2024-11-06,Aktywny,1
MCFACI1666,6,2024-08-14,Aktywny,1
MCFACI1666,21,2022-03-19,Aktywny,1
MCPIJE3941,9,2025-05-24,Aktywny,1
MCRASL1048,8,2023-11-25,Aktywny,0
MCFACI1666,28,2024-11-20,Aktywny,1
MCRASZ2555,21,2022-03-12,Aktywny,1
MCJAWI6047,22,2023-10-11,Aktywny,1
MCBLRZ8949,19,2024-10-17,Aktywny,1
MCRASZ2555,17,2025-01-18,Aktywny,1
MCGUCI8016,5,2025-04-30,Aktywny,1
MCGUCI8016,21,2022-03-06,Aktywny,1
MCRASZ2555,4,2025-10-19,Aktywny,1
MCNEKL6541,26,2024-12-17,Aktywny,1
MCRASZ2555,2,2022-12-19,Aktywny,1
MCADNI1442,14,2022-01-03,Aktywny,1
MCRASL1048,5,2025-04-21,Aktywny,1
MCJAKA1388,4,2025-10-13,Anulowany,0
MCROPE9078,2,2022-12-07,Aktywny,1
MCRASL1048,10,2023-08-07,Aktywny,1
MCRASZ2555,30,2025-10-24,Aktywny,1
MCEWNO6755,1,2022-10-06,Aktywny,1
MCJAZY3673,13,2022-04-28,Aktywny,1
MCROPE9078,30,2025-10-02,Aktywny,1
MCRASZ2555,23,2023-05-27,Aktywny,1
MCROJE5622,18,2024-09-27,Aktywny,1
MCIGSE1803,17,2025-01-18,Aktywny,1
MCRASL1048,20,2023-12-10,Aktywny,1
MCJUDE5742,24,2023-06-25,Aktywny,1
MCIGSE1803,8,2023-12-16,Aktywny,1
MCIGSE1803,25,2023-11-21,Aktywny,1
MCDAST9829,8,2023-12-19,Aktywny,1
MCDAST9829,22,2023-10-04,Aktywny,1
MCGRSI9448,19,2024-10-22,Aktywny,1
MCBLRZ8949,16,2023-09-26,Aktywny,1
MCBRKA5404,21,2022-03-29,Aktywny,1
MCANNI3375,6,2024-08-07,Aktywny,1
MCFACI1666,15,2022-03-20,Aktywny,1
MCNEKL6541,22,2023-09-29,Aktywny,1
MCEWNO6755,14,2022-01-12,Aktywny,1
MCGUCI8016,10,2023-08-13,Aktywny,1
MCBLRZ8949,27,2025-02-16,Aktywny,1
MCWIMA4429,30,2025-10-24,Anulowany,0
MCANNI3375,21,2022-03-29,Aktywny,1
MCGRSI9448,2,2022-11-28,Aktywny,0
MCJUDE5742,27,2025-02-16,Aktywny,1
MCDAST9829,9,2025-04-26,Aktywny,1
MCGAWY9572,29,2022-01-09,Aktywny,1
